Success (183):
datatype {urn:com:appian:types}WD_widget 5094
datatype {urn:com:appian:types}WD_bookmark 5096
datatype {urn:com:appian:types}WD_toDoItem 5098
2017-07-07 21:59:59.502 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Updating existing object.
2017-07-07 22:00:03.031 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Object transported.
2017-07-07 22:00:03.031 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: ContentRole[name=administrators,groupUuids=[_e-0000de3b-6558-8000-341f-011e94011e94_20],inherit=false,allowForAll=false]
2017-07-07 22:00:03.033 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: ContentRole[name=denyAuthors,inherit=false,allowForAll=false]
2017-07-07 22:00:03.033 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: ContentRole[name=denyAdministrators,inherit=false,allowForAll=false]
2017-07-07 22:00:03.033 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: ContentRole[name=authors,inherit=false,allowForAll=false]
2017-07-07 22:00:03.033 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: ContentRole[name=denyReaders,inherit=false,allowForAll=false]
2017-07-07 22:00:03.033 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Updating existing object.
2017-07-07 22:00:03.124 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Object transported.
2017-07-07 22:00:03.126 DEBUG group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 Begin transport.
2017-07-07 22:00:03.126 DEBUG group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 De-serializing object from XML.
2017-07-07 22:00:03.128 DEBUG group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 Setting import properties.
2017-07-07 22:00:03.128 DEBUG group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 Importing object references.
2017-07-07 22:00:03.128 DEBUG group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 Processing reference: Role[name=<null>]
2017-07-07 22:00:03.128 DEBUG group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 Processing reference: Group.groupTypeId
2017-07-07 22:00:03.13 DEBUG group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 Processing reference: Group.parentId
